date,generacion_total_programada_redespacho,generacion_total_programada_despacho,generacion_total_real,importacion_programada_redespacho,importacion__real,exportacion_programada_redespacho,exportacion__real,disponibilidad_real,demanda_no_atendida,costo_marginal_promedio_redespacho,aportes_hidricos,volumen_util_diario,volumen,id
"'2017-09-10 00:00:00'",162.12,162.12,159.73,0.0,0.11,0.0,0.04,13844.75,8.22,120.09,226.96,12872.82,14445.43,1441
"'2017-09-11 00:00:00'",187.88,187.88,186.62,0.0,0.11,0.0,0.04,13621.86,9.57,124.33,144.03,12849.95,14422.54,1442
"'2017-09-12 00:00:00'",191.58,191.58,191.02,0.0,0.12,0.0,0.05,13332.46,169.63,103.01,161.80,12842.31,14414.91,1443
"'2017-09-13 00:00:00'",191.01,191.01,190.56,0.0,0.12,0.0,0.05,13086.02,14.07,116.54,168.73,12835.43,14408.03,1444
"'2017-09-14 00:00:00'",191.03,191.03,191.17,0.0,0.13,0.0,0.05,13210.6,57.3,124.31,144.96,12823.47,14396.08,1445
"'2017-09-15 00:00:00'",191.46,191.46,191.63,0.0,0.13,0.0,0.04,13279.93,12.6,107.99,189.96,12856.00,14428.60,1446
"'2017-09-16 00:00:00'",180.82,180.82,182.58,0.0,0.12,0.0,0.04,13606.78,282.54,106.03,269.31,12916.91,14489.55,1447
"'2017-09-17 00:00:00'",162.38,162.38,159.01,0.0,0.12,0.0,0.04,13724.18,521.84,110.68,249.86,12982.75,14555.37,1448
"'2017-09-18 00:00:00'",188.33,188.33,187.26,0.0,0.13,0.0,0.11,13836.85,4.27,110.96,162.53,12975.47,14548.09,1449
"'2017-09-19 00:00:00'",190.48,190.31,192.31,0.0,0.13,0.0,0.04,13818.63,100.94,94.92,159.12,12952.05,14524.67,1450
"'2017-09-20 00:00:00'",191.25,191.25,195.21,0.0,0.11,0.0,0.04,13833.0,22.1,97.46,167.50,12939.76,14512.35,1451
"'2017-09-21 00:00:00'",192.26,192.26,195.49,0.0,0.13,0.0,0.05,13731.16,176.3,116.89,114.42,12879.70,14452.30,1452
"'2017-09-22 00:00:00'",192.26,192.26,194.42,0.0,0.13,0.0,0.05,13848.22,676.54,113.65,142.31,12845.18,14417.78,1453
"'2017-09-23 00:00:00'",181.98,181.98,181.5,0.0,0.12,0.0,0.04,13885.2,206.44,117.43,216.29,12892.63,14465.22,1454
"'2017-09-24 00:00:00'",163.4,163.4,163.97,0.0,0.12,0.0,0.04,13795.54,586.89,109.98,161.86,12903.48,14476.10,1455
"'2017-09-25 00:00:00'",190.17,190.17,188.54,0.0,0.11,0.0,0.05,13854.68,20.91,106.11,158.34,12878.03,14450.63,1456
"'2017-09-26 00:00:00'",193.22,193.22,189.91,0.0,0.13,0.0,0.05,13739.6,27.31,110.67,128.41,12833.96,14406.56,1457
"'2017-09-27 00:00:00'",188.69,188.93,190.7,0.0,0.12,0.0,0.04,13444.63,1.69,103.46,99.57,12769.72,14342.34,1458
"'2017-09-28 00:00:00'",192.26,192.26,192.25,0.0,0.12,0.0,0.03,13183.04,82.59,127.63,145.35,12747.28,14319.88,1459
"'2017-09-29 00:00:00'",193.25,193.25,189.6,0.0,0.12,0.0,0.04,13540.49,105.75,104.43,169.74,12717.18,14289.80,1460
"'2017-09-30 00:00:00'",182.41,182.41,176.86,0.0,0.13,0.0,0.04,13774.68,30.36,101.15,193.79,12745.82,14318.43,1461
